Transcribed Name,Artifact Number,Artist Name Roman,Artist Name Cyrillic,Second Artist Name Roman,Second Artist Name Cyrillic,Artist Notes,Poster Notes
Unknown,PP 001,Artist Unknown,неизвестный художник,,,,
Unknown,PP 002,Artist Unknown,неизвестный художник,,,,Poster is in Polish language
"Ivanov, V.",PP 003,"Ivanov, Viktor Semenovich","Иванов, Виктор Семёнович",,,Born in 1909; Died in 1968,
"Solov'ev, E.",PP 004,"Solov'ev, E.","Соловьев, E.",,,,
Unknown,PP 005,Artist Unknown,неизвестный художник,,,,
Grabovetskii,PP 006,"Grabovetskii, Emmanuil Markovich","Грабовецкий, Эммануил Маркович",,,Born in 1912; Died in 2007,
"Apsit, A.",PP 007,"Apsitis (Apsītis), Aleksandr (Aleksandrs) Petrovich","Апситис, Александр Петрович",,,Born in 1880; Died in 1944,Attributed to Apsit
Baliasnyi,PP 008,"Baliasnyi, M.M. ","Балясный, M.M. ","Kruzhkov, Il'ia Markovich; Kruchakov, Samuil Abramovich","Кружков, Илья Маркович , Кручаков, Самуил Абрамович",,Poster contains no given names of the artists
"Kost, V.",PP 009,"Kostianitsyn, Vasilii Nikolaevich ","Костяницын, Василий Николаевич  ",,,Born in 1881; Died in 1940,"Artist signed their posters under two pen names, Kost and Kostits"
Unknown,PP 010,Artist Unknown,неизвестный художник,,,,
Unknown,PP 011,Artist Unknown,неизвестный художник,,,,
O Kh,PP 012,O Kh  (Okh),OX,,,,Artist signs poster with initials
"Zeiler, G.F.",PP 013,"Zeiler (Seiler), G.F.","Зейлер, Г.Ф. ",,,,"Poster contains what appears to be an artist's chop with initials 'G.G.Z.' and if correct, it would make the artist's name G.G. Zeiler (Seiler)"
"Kochergin, N.",PP 014,"Kochergin, Nikolai Mikhailovich","Кочергин, Николай Михайлович ",,,Born in 1897; Died in 1974,Attributed to Kochergin
"Apsit, A.",PP 015,"Apsitis (Apsītis), Aleksandr (Aleksandrs) Petrovich","Апситис, Александр Петрович",,,Born in 1880; Died in 1944,"Artist signs poster with pen name, Skif"
"Moor, D.",PP 016,"Orlov, (Moor) Dmitrii Stakhievich","Орлов, (Моор) Дмитрий Стахиевич",,,Born in 1883; Died in 1946; Moor is the artist's pen name,
"Kiselis, P.",PP 017,"Kiselis, Petr Yul’evich (Yur’evich)","Киселис, Пётр Юрьевич (Юрьевич)",,,Born in 1890; Died in 1940,
Unknown,PP 018,Artist Unknown,неизвестный художник,,,,
"Koretskii, V.",PP 019,"Koretskii, Viktor Borisovich","Корецкий, Виктор Борисович",,,Born in 1909; Died in 1998,
Unknown,PP 020,Artist Unknown,неизвестный художник,,,,
Unknown,PP 021,Artist Unknown,неизвестный художник,,,,
Unknown,PP 022,Artist Unknown,неизвестный художник,,,,
"Efimov, B.",PP 023,"Efimov, Boris Efimovich (Fridliand)","Ефимов, Борис Ефимович (Фридлянд) ",,,Born in 1900; Died in 2008,"Poster is signed with the pen name, ""Кольценко""; Attributed to Efimov"
Unknown,PP 024,Artist Unknown,неизвестный художник,,,,
