Artifact Code,Name,Location,Description
PP 001,Political Directorate of the National Commissariat on Military Affairs of Ukraine,Ukraine,
PP 002,Polish Communist Publishing House,Kiev,
PP 003,Iskusstvo,Moscow-Leningrad,Art
PP 004,IzoGiz,,State Publishing House of Fine Art
PP 005,,,
PP 006,Krymizdat,[Crimea],Crimean Publishing House
PP 007,Gosizdat,Moscow,State Publishing House
PP 008,Mistetstvo,Ukraine,Union of the Soviet Artists of Ukraine
PP 009,State Publishing House,Moscow,
PP 010,State Publishing House,Kiev,
PP 011,Odessa Region Department of Printing,Odessa,
PP 012,,,
PP 013,,,
PP 014,,,
PP 015,All-Russian Bureau of Military Commissars Agitation and Education Department,,
PP 016,Ogiz-IzoGiz,Moscow-Leningrad,Association of State Book-Magazine Publishing Houses and State Publishing House of Fine Art
PP 017,All-Russian Bureau of Military Commissars Agitation and Education Department,,
PP 018,Kiev Garrison Site of Military Propaganda,Kiev,
PP 019,Iskusstvo,Moscow-Leningrad,Art
PP 020,,,
PP 021,,,
PP 022,Art Section of Brigade Management Unit 12,,
PP 023,State Publishing House of the Ukrainian Soviet Socialist Republic,Kiev,
PP 024,Department of Soviet Propaganda of the Executive Committee of the Soviet of Working Deputies of Odessa,Odessa,
PP 025,All-Russian Bureau of Military Commissars Agitation and Education Department,,
PP 026,"Political Directorate of the Revolutionary Military Council of the Republic, Literature-Publication Department",,
PP 027,IZO Graphic Workshop Of The Art Fund,,
PP 028,Sovietskii Khudozhnik,Moscow,Soviet Artist
PP 029,State Publishing House,Moscow-Leningrad,
PP 030,,,
PP 031,,,
PP 032,Iskusstvo,Moscow-Leningrad,Art
PP 033,IzoGiz,Moscow,State Publishing House of Fine Art
PP 034,Glavkomtrud and Narkomtrud Agitation Publishing Department,,
PP 035,Ogiz-IzoGiz,Moscow-Leningrad,Association of State Book-Magazine Publishing Houses and State Publishing House of Fine Art
PP 036,IzoGiz,Moscow,State Publishing House of Fine Art
PP 037,IzoGiz,Moscow,State Publishing House of Fine Art
PP 038,Publishing House of the All-Russian Central Executive Committee,,
PP 039,Ogiz-IzoGiz,Moscow-Leningrad,Association of State Book-Magazine Publishing Houses and State Publishing House of Fine Art
PP 040,Publishing House of the All-Russian Central Executive Committee,,
PP 041,IzoGiz,Moscow,State Publishing House of Fine Art
PP 042,State Publishing House of the RSFSR ,,Russian Soviet Federative Socialist Republic
PP 043,IzoGiz,Moscow,State Publishing House of Fine Art
PP 044,Iskusstvo,Moscow-Leningrad,Art
PP 045,State Publishing House of the Ukrainian Soviet Socialist Republic,Kiev,
PP 046,Gubpechat' ,Kharkov,Kharkov Province Department of Printing
PP 047,Chief Department [Control Center] of Obligatory Individual Military Training of the All-Russian Main Headquarters,,
PP 048,UkRosta,Ukraine,
PP 049,Plakat  Moscow,Moscow,Poster
PP 050,Iskusstvo,Moscow-Leningrad,Art
PP 051,,,
PP 052,,,
PP 053,Iskusstvo,Moscow-Leningrad,Art
PP 054,Political Directorate of the Kiev Military Region,Kiev,
PP 055,,,
PP 056,"All-Russian Central Executive Committee of the Council of Workers, Peasants, Red Army Soldiers and Kazak Deputies",,
PP 057,Military-Training Operations of Ukraine,Kiev,
PP 058,,,
PP 059,Ogiz-IzoGiz,Moscow-Leningrad,Association of State Book-Magazine Publishing Houses and State Publishing House of Fine Art
